id	user	by	timestamp	expiry	duration-l10n	reason	nocreate	autoblock	noemail	allowusertalk	anononly	partial	wiki
27838	2402:8100:3919:9AAD:CAD4:571A:E3CF:9251	Kiran Gopi	2021-01-06T17:53:08Z	infinity	അനിശ്ചിത കാലം	നശീകരണ പ്രവർത്തനം							mlwiki
27832	103.99.206.175	Vijayanrajapuram	2021-01-01T16:40:32Z	infinity	അനിശ്ചിത കാലം	നശീകരണ പ്രവർത്തനം							mlwiki
27804	2402:8100:3926:2E6C:0:0:0:1	Vijayanrajapuram	2020-11-26T02:00:57Z	infinity	അനിശ്ചിത കാലം	നശീകരണ പ്രവർത്തനം: സി.വി. ബാലകൃഷ്ണൻ എന്ന ലേഖനത്തിലെ നശീകരണം							mlwiki
27803	2402:8100:390C:EC8C:658A:8B19:DF85:A369	Vijayanrajapuram	2020-11-20T14:39:53Z	infinity	അനിശ്ചിത കാലം	നശീകരണ പ്രവർത്തനം: നിരവധി താളുകളിൽ, കുറഞ്ഞസമയത്തിനകം ൻശീകരണം നടത്തിയിരിക്കുന്നു.							mlwiki
27801	103.66.79.162	Vijayanrajapuram	2020-11-19T11:06:03Z	infinity	അനിശ്ചിത കാലം	നശീകരണ പ്രവർത്തനം: ചെറുശ്ശേരി എന്ന താളിൽ നടത്തിയ നശീകരണം							mlwiki
27800	117.202.81.158	Vijayanrajapuram	2020-11-19T11:04:20Z	infinity	അനിശ്ചിത കാലം	നശീകരണ പ്രവർത്തനം: ചെറുശ്ശേരി എന്ന താളിൽ നടത്തിയ നശീകരണം							mlwiki
27798	2804:D55:52A1:DA00:7987:D5BA:AFDD:A44	Vijayanrajapuram	2020-11-15T17:08:00Z	infinity	അനിശ്ചിത കാലം	നശീകരണ പ്രവർത്തനം							mlwiki
27796	117.196.141.253	Vijayanrajapuram	2020-11-09T06:01:23Z	infinity	അനിശ്ചിത കാലം	നശീകരണ പ്രവർത്തനം: അനിഴം തിരുനാൾ മാർത്താണ്ഡവർമ്മ‎ എന്ന താളിലെ നശീകരണം.							mlwiki
27780	202.83.42.163	Kiran Gopi	2020-10-05T06:33:13Z	infinity	അനിശ്ചിത കാലം	അനാവശ്യം/അസംബന്ധം താളിലേക്കു ചേർക്കൽ							mlwiki
27742	178.80.57.68	Kiran Gopi	2020-07-17T02:45:17Z	infinity	അനിശ്ചിത കാലം	അനാവശ്യം/അസംബന്ധം താളിലേക്കു ചേർക്കൽ							mlwiki
27723	14.139.185.114	TheWikiholic	2020-03-25T06:42:37Z	infinity	അനിശ്ചിത കാലം	മാന്യമല്ലാത്ത പെരുമാറ്റം							mlwiki
27705	2409:4073:93:F7DC:0:0:5D:AC	TheWikiholic	2019-12-01T07:12:09Z	infinity	അനിശ്ചിത കാലം	അനാവശ്യം/അസംബന്ധം താളിലേക്കു ചേർക്കൽ							mlwiki
27702	70.27.77.5	TheWikiholic	2019-11-14T11:28:15Z	infinity	അനിശ്ചിത കാലം	തെറ്റായ വിവരങ്ങൾ ചേർക്കുക							mlwiki
27700	2402:3A80:539:5FE3:43E6:2DC5:97F4:C5B4	TheWikiholic	2019-09-25T12:58:43Z	infinity	അനിശ്ചിത കാലം	അനാവശ്യം/അസംബന്ധം താളിലേക്കു ചേർക്കൽ							mlwiki
27698	2405:204:D203:98A7:6347:C261:7D1C:67FE	TheWikiholic	2019-09-12T03:31:37Z	infinity	അനിശ്ചിത കാലം	അനാവശ്യം/അസംബന്ധം താളിലേക്കു ചേർക്കൽ							mlwiki
27695	2605:A000:1133:91FA:6C2E:BB14:D0C5:BDF4	Malikaveedu	2019-05-22T04:08:54Z	infinity	അനിശ്ചിത കാലം	അനാവശ്യം/അസംബന്ധം താളിലേക്കു ചേർക്കൽ							mlwiki
27693	2402:8100:3925:20FA:0:0:0:1	TheWikiholic	2019-02-15T12:08:22Z	infinity	അനിശ്ചിത കാലം	ദുരുദ്ദേശത്തോടെ ഉപയോഗിക്കുന്ന നിരവധി അംഗത്വങ്ങൾ							mlwiki
27611	106.76.249.46	TheWikiholic	2018-05-23T23:07:54Z	infinity	അനിശ്ചിത കാലം								mlwiki
27561	117.214.23.214	Kiran Gopi	2017-10-10T20:42:11Z	infinity	അനിശ്ചിത കാലം	മാന്യമല്ലാത്ത പെരുമാറ്റം							mlwiki
27541	64.71.171.88	Irvin calicut	2017-04-23T08:41:47Z	infinity	അനിശ്ചിത കാലം	creating numerous articles with same contents . wandalism							mlwiki
27196	Spídér's Wéb: A Píg's Tálé	Jyothis	2010-07-04T01:11:25Z	infinity	അനിശ്ചിത കാലം	crosswiki abuse<!--[[m:SH#lock|globally locked]]; [[m:User:StewardBot|about bot]]-->							mlwiki
27195	Spidér's Wéb: A Pig's Tálé in Quechua	Jyothis	2010-07-01T23:51:03Z	infinity	അനിശ്ചിത കാലം	crosswiki abuse<!--[[m:SH#lock|globally locked]]; [[m:User:StewardBot|about bot]]-->							mlwiki
27130	Gwe pry cop: Ei Moch Stori	Jyothis	2010-05-06T02:02:36Z	infinity	അനിശ്ചിത കാലം	crosswiki abuse<!--[[m:SH#lock|globally locked]]; [[m:User:StewardBot|about bot]]-->							mlwiki
27126	La tela de una araña: la historia de un cerdo	Pathoschild	2010-05-03T00:20:56Z	infinity	അനിശ്ചിത കാലം	crosswiki abuse<!--[[m:SH#lock|globally locked]]; [[m:User:StewardBot|about bot]]-->							mlwiki
27051	193.200.150.125	Jyothis	2009-11-02T12:29:17Z	infinity	അനിശ്ചിത കാലം	Open proxy							mlwiki
27048	208.89.216.0/21	Jyothis	2009-10-30T19:52:58Z	infinity	അനിശ്ചിത കാലം	range with many Open proxies - blocked in meta as well							mlwiki
26803	74.86.111.232	Anoopan	2008-06-19T19:20:46Z	infinity	അനിശ്ചിത കാലം	Open Proxy							mlwiki
26802	68.178.158.134	Anoopan	2008-06-19T19:20:30Z	infinity	അനിശ്ചിത കാലം	Open Proxy							mlwiki
26801	74.63.84.54	Anoopan	2008-06-19T19:20:01Z	infinity	അനിശ്ചിത കാലം	Open Proxy							mlwiki
26800	72.233.78.3	Anoopan	2008-06-19T19:19:31Z	infinity	അനിശ്ചിത കാലം	Open Proxy							mlwiki
26799	67.159.47.244	Anoopan	2008-06-19T19:19:19Z	infinity	അനിശ്ചിത കാലം	Open Proxy							mlwiki
26798	67.159.57.163	Anoopan	2008-06-19T19:18:39Z	infinity	അനിശ്ചിത കാലം	Open Proxy							mlwiki
26797	76.164.196.162	Anoopan	2008-06-19T19:18:20Z	infinity	അനിശ്ചിത കാലം	Open Proxy							mlwiki
